Final Adaptive DMA benchmark
Waiting for CPU1 load generator...
CPU1 load generator ready
CONFIG,repeats=3,phases=4,samples_per_phase=25,dma_bytes=8388608
SAMPLE_HEADER,repeat,mode,phase,load,sample,cpu_ticks,cpu_cycles,level_before,level_after,dma_command
MODE_BEGIN,CPU_ONLY
SAMPLE,2,CPU_ONLY,OFF_A,0,18,778849,95.07,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,19,778615,95.04,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,20,778742,95.06,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,21,779145,95.11,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,22,778113,94.98,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,23,778931,95.08,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,24,778431,95.02,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,0,797936,97.40,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,1,800373,97.70,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,2,796972,97.28,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,3,798882,97.51,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,4,800293,97.69,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,5,799869,97.64,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,6,796177,97.18,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,7,800844,97.75,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,8,799964,97.65,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,9,797503,97.35,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,10,798674,97.49,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,11,799762,97.62,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,12,800773,97.75,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,13,800859,97.76,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,14,797900,97.39,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,15,796804,97.26,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,16,797905,97.40,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,17,800446,97.71,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,18,800209,97.68,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,19,800146,97.67,255,255,0

SAMPLE,2,CPU_ONLY,ON_A,1,20,799372,97.57,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,21,796385,97.21,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,22,796872,97.27,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,23,799449,97.58,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,24,801029,97.78,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,0,778733,95.06,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,1,778444,95.02,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,2,779156,95.11,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,3,778622,95.04,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,4,778545,95.03,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,5,778731,95.05,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,6,778473,95.02,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,7,778500,95.03,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,8,778514,95.03,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,9,778706,95.05,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,10,778192,94.99,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,11,779060,95.10,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,12,778956,95.08,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,13,778384,95.01,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,14,778762,95.06,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,15,778190,94.99,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,16,778893,95.07,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,17,778702,95.05,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,18,778515,95.03,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,19,778948,95.08,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,20,778652,95.05,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,21,778869,95.07,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,22,778233,94.99,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,23,779253,95.12,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,24,778696,95.05,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,0,798464,97.46,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,1,800707,97.74,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,2,796715,97.25,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,3,798883,97.51,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,4,800006,97.65,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,5,798690,97.49,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,6,796649,97.24,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,7,800251,97.68,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,8,801142,97.79,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,9,796446,97.22,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,10,798821,97.51,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,11,800683,97.73,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,12,800042,97.66,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,13,800442,97.71,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,14,798072,97.42,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,15,796123,97.18,255,255,0
