AdaptiveDMA parameter sweep
configs=25,runs=100,dma_bytes=8388608,latency_limit_percent=50
SAMPLE_HEADER,name,run,base_cpu,load_cpu,dma_cycles,r_wait,w_wait,r_windows,w_windows,stall_ar,stall_r,stall_aw,stall_w,stall_b,overlap,checks_ok
SUMMARY_HEADER,name,burst,rd_out,wr_out,rbr_ctrl,threshold,nominal,r_delta_q8,w_delta_q8,base_mean,cpu_mean,p95,p99,target,slowdown_percent,violations,violation_percent,dma_cycles,dma_MiB_per_s,r_wait,w_wait,r_windows,w_windows,stall_ar,stall_r,stall_aw,stall_w,stall_b,errors
SAMPLE,RAW_B1_O2,77,106.30,110.69,17199584,0,0,0,0,524100,0,523520,0,0,1,1
SAMPLE,RAW_B1_O2,78,106.34,110.48,17201934,0,0,0,0,524101,0,523643,0,0,1,1
SAMPLE,RAW_B1_O2,79,106.38,110.44,17202861,0,0,0,0,524099,0,523670,0,0,1,1
SAMPLE,RAW_B1_O2,80,106.35,110.26,17205232,0,0,0,0,524132,0,523823,0,0,1,1
SAMPLE,RAW_B1_O2,81,106.43,110.57,17202621,0,0,0,0,524081,0,523601,0,0,1,1
SAMPLE,RAW_B1_O2,82,106.42,110.24,17203575,0,0,0,0,524075,0,523816,0,0,1,1
SAMPLE,RAW_B1_O2,83,106.38,110.31,17204701,0,0,0,0,524141,0,523830,0,0,1,1
SAMPLE,RAW_B1_O2,84,106.33,110.55,17201811,0,0,0,0,524108,0,523709,0,0,1,1
SAMPLE,RAW_B1_O2,85,106.44,110.41,17202525,0,0,0,0,524131,0,523793,0,0,1,1
SAMPLE,RAW_B1_O2,86,106.33,110.63,17200405,0,0,0,0,524101,0,523596,0,0,1,1
SAMPLE,RAW_B1_O2,87,106.39,110.41,17201163,0,0,0,0,524082,0,523587,0,0,1,1
SAMPLE,RAW_B1_O2,88,106.37,110.42,17203587,0,0,0,0,524153,0,523803,0,0,1,1
SAMPLE,RAW_B1_O2,89,106.33,110.60,17201356,0,0,0,0,524145,0,523642,0,0,1,1
SAMPLE,RAW_B1_O2,90,106.31,110.54,17201756,0,0,0,0,524136,0,523661,0,0,1,1
SAMPLE,RAW_B1_O2,91,106.39,110.50,17202259,0,0,0,0,524142,0,523771,0,0,1,1
SAMPLE,RAW_B1_O2,92,106.31,110.54,17203054,0,0,0,0,524142,0,523680,0,0,1,1
SAMPLE,RAW_B1_O2,93,106.22,110.44,17202209,0,0,0,0,524124,0,523708,0,0,1,1
SAMPLE,RAW_B1_O2,94,106.27,110.40,17204113,0,0,0,0,524151,0,523797,0,0,1,1
SAMPLE,RAW_B1_O2,95,106.39,110.64,17200191,0,0,0,0,524092,0,523534,0,0,1,1
SAMPLE,RAW_B1_O2,96,106.43,110.61,17202349,0,0,0,0,524131,0,523639,0,0,1,1
SAMPLE,RAW_B1_O2,97,106.35,110.45,17200558,0,0,0,0,524083,0,523662,0,0,1,1
SAMPLE,RAW_B1_O2,98,106.24,110.40,17201601,0,0,0,0,524115,0,523733,0,0,1,1
SAMPLE,RAW_B1_O2,99,106.34,110.38,17205096,0,0,0,0,524160,0,523849,0,0,1,1
SUMMARY,RAW_B1_O2,1,2,2,0,256,32,0,0,106.36,110.52,110.84,110.90,159.54,3.91,0,0.00,17201930,46.50,0,0,0,0,524116,0,523672,0,0,0
SAMPLE,RAW_B1_O4,0,106.52,113.79,8935428,0,0,0,0,780659,0,780622,0,0,1,1
SAMPLE,RAW_B1_O4,1,106.43,113.77,8934093,0,0,0,0,780472,0,780452,0,0,1,1
SAMPLE,RAW_B1_O4,2,106.38,113.75,8935658,0,0,0,0,780519,0,780494,0,0,1,1
SAMPLE,RAW_B1_O4,3,106.36,113.66,8936026,0,0,0,0,780774,0,780735,0,0,1,1
SAMPLE,RAW_B1_O4,4,106.43,113.49,8942031,0,0,0,0,780816,0,780780,0,0,1,1
SAMPLE,RAW_B1_O4,5,106.27,113.77,8938985,0,0,0,0,780461,0,780434,0,0,1,1
SAMPLE,RAW_B1_O4,6,106.34,113.52,8937568,0,0,0,0,780609,0,780580,0,0,1,1
SAMPLE,RAW_B1_O4,7,106.36,113.57,8946648,0,0,0,0,780845,0,780809,0,0,1,1
SAMPLE,RAW_B1_O4,8,106.36,113.54,8943164,0,0,0,0,781070,0,781028,0,0,1,1
SAMPLE,RAW_B1_O4,9,106.37,113.67,8939717,0,0,0,0,780829,0,780801,0,0,1,1
SAMPLE,RAW_B1_O4,10,106.39,113.81,8943485,0,0,0,0,780999,0,780962,0,0,1,1
SAMPLE,RAW_B1_O4,11,106.40,113.67,8945914,0,0,0,0,781118,0,781073,0,0,1,1
SAMPLE,RAW_B1_O4,12,106.44,113.83,8932311,0,0,0,0,780685,0,780649,0,0,1,1
SAMPLE,RAW_B1_O4,13,106.36,113.55,8944219,0,0,0,0,780652,0,780619,0,0,1,1
SAMPLE,RAW_B1_O4,14,106.40,113.89,8943912,0,0,0,0,780914,0,780883,0,0,1,1
SAMPLE,RAW_B1_O4,15,106.27,113.54,8923695,0,0,0,0,780382,0,780354,0,0,1,1
SAMPLE,RAW_B1_O4,16,106.49,113.63,8940804,0,0,0,0,780515,0,780488,0,0,1,1
SAMPLE,RAW_B1_O4,17,106.45,113.56,8944769,0,0,0,0,781219,0,781178,0,0,1,1
SAMPLE,RAW_B1_O4,18,106.40,113.68,8936875,0,0,0,0,780609,0,780579,0,0,1,1
SAMPLE,RAW_B1_O4,19,106.28,113.74,8942602,0,0,0,0,781069,0,781028,0,0,1,1
SAMPLE,RAW_B1_O4,20,106.36,113.59,8935686,0,0,0,0,780512,0,780470,0,0,1,1
SAMPLE,RAW_B1_O4,21,106.46,113.87,8943542,0,0,0,0,780935,0,780900,0,0,1,1
SAMPLE,RAW_B1_O4,22,106.26,113.57,8937721,0,0,0,0,780807,0,780774,0,0,1,1
SAMPLE,RAW_B1_O4,23,106.41,113.59,8939197,0,0,0,0,780605,0,780570,0,0,1,1
SAMPLE,RAW_B1_O4,24,106.37,113.41,8942309,0,0,0,0,780955,0,780921,0,0,1,1
SAMPLE,RAW_B1_O4,25,106.29,113.58,8945037,0,0,0,0,781376,0,781330,0,0,1,1
SAMPLE,RAW_B1_O4,26,106.36,113.75,8936267,0,0,0,0,780549,0,780514,0,0,1,1
